vehicle_id,deadline
0,756
1,556
2,552
3,617
4,506
5,779
6,426
7,358
8,576
9,678
10,509
11,397
12,425
13,525
14,504
15,844
16,686
17,489
18,756
19,532
20,567
21,548
22,829
23,804
24,860
25,397
26,491
27,596
28,789
29,729
30,719
31,856
32,613
33,534
34,523
35,774
36,721
37,557
38,487
39,506
40,756
41,686
42,576
43,702
44,569
45,507
46,629
47,449
48,595
49,747
50,901
51,486
52,891
53,542
54,791
55,672
56,687
57,662
58,493
59,865
60,567
61,555
62,871
63,550
64,863
65,891
66,671
67,784
68,855
69,753
70,687
71,792
72,789
73,469
74,723
75,703
76,812
77,553
78,668
79,849
80,596
81,856
82,742
83,812
84,719
85,807
86,576
87,728
88,574
89,800
90,538
91,877
92,595
93,660
94,903
95,872
96,741
97,760
98,759
99,786
100,794
101,574
102,880
103,948
104,505
105,926
106,547
107,711
108,834
109,793
110,883
111,521
112,939
113,917
114,676
115,624
116,798
117,682
118,566
119,636
120,669
121,927
122,634
123,757
124,1030
125,950
126,598
127,632
128,853
129,595
130,553
131,930
132,1011
133,625
134,849
135,562
136,869
137,642
138,828
139,841
140,693
141,808
142,570
143,559
144,805
145,832
146,783
147,847
148,884
149,704
150,890
151,924
152,650
153,788
154,761
155,611
156,871
157,672
158,1019
159,1090
160,904
161,903
162,1022
163,1028
164,618
165,989
166,705
167,989
168,941
169,753
170,869
171,1055
172,775
173,975
174,1057
175,834
176,1054
177,646
178,906
179,750
180,1017
181,1063
182,1036
183,755
184,914
185,1062
186,976
187,992
188,814
189,688
190,667
191,1029
192,1019
193,683
194,1010
195,807
196,862
197,919
198,751
199,940
200,691
201,1047
202,1013
203,994
204,836
205,923
206,1114
207,790
208,864
209,857
210,886
211,805
212,723
213,911
214,1014
215,1156
216,1186
217,1009
218,984
219,1230
220,923
221,1154
222,989
223,943
224,1121
225,1086
226,986
227,882
228,1127
229,1236
230,973
231,1064
232,1169
233,900
234,1202
235,1055
236,804
237,1065
238,1234
239,810
240,1227
241,798
242,1069
243,1143
244,1242
245,806
246,914
247,1182
248,870
249,1280
250,994
251,896
252,873
253,857
254,986
255,896
256,1038
257,1207
258,1235
259,1294
260,1162
261,839
262,1128
263,1077
264,1065
265,1002
266,1085
267,980
268,1239
269,1184
270,1221
271,1130
272,1133
273,1259
274,892
275,1058
276,1248
277,950
278,1025
279,1199
280,970
281,1052
282,1105
283,1014
284,1060
285,915
286,940
287,1038
288,1134
289,1254
290,923
291,1088
292,1362
293,1172
294,1335
295,1267
296,1132
297,1117
298,1090
299,1074
